solution_id,number_mp,designation,mag_h,slope_g,code,obs_arc,obs_num,osc_epoch,orb_m,omega,node_omega,inclination,eccentricity,a,orb_date,ceu,ceu_rate,ceu_epoch
4427920383700574337,8,flora,6.49,0.28,0,62156,2349,20180323,74.153606,285.27634,110.900075,5.886804,0.15695108,2.20110545,20180203,0.026,-2.3E-4,20180228
4427920383700574337,14,irene,6.3,0.15,9,60663,2359,20180323,70.022409,97.922679,86.123345,9.12142,0.16674974,2.58580794,20180203,0.018,4.5E-5,20180228
4427920383700574337,17,thetis,7.76,0.15,9,60038,3133,20180323,201.884055,136.146427,125.553231,5.590649,0.1327901,2.47079133,20180203,0.014,-7.9E-5,20180228
4427920383700574337,19,fortuna,7.13,0.1,0,60396,2693,20180323,94.010175,182.058835,211.144923,1.573912,0.15866699,2.4415546,20180203,0.025,-1.8E-4,20180228
4427920383700574337,21,lutetia,7.35,0.11,0,55437,4384,20180323,240.620977,249.918293,80.871134,3.063771,0.16409739,2.4353819,20180203,0.015,9.0E-5,20180228
4427920383700574337,24,themis,7.08,0.19,0,60172,3233,20180323,284.303378,106.897182,35.944109,0.751754,0.12508312,3.13726991,20180207,0.016,-2.5E-5,20180228
4427920383700574337,26,proserpina,7.4,0.15,0,57120,1941,20180323,14.489607,193.506087,45.780852,3.563615,0.09048108,2.65503436,20171009,0.023,9.2E-5,20180228
4427920383700574337,30,urania,7.57,0.15,0,57551,2996,20180323,280.671041,87.470304,307.477212,2.095867,0.12738719,2.36505861,20171009,0.012,2.5E-5,20180228
4427920383700574337,31,euphrosyne,6.74,0.15,0,57432,1793,20180323,16.842479,61.424481,31.117999,26.305273,0.22112891,3.15538254,20180203,0.023,-6.7E-5,20180228
4427920383700574337,32,pomona,7.56,0.15,9,56261,1835,20180323,297.295362,339.439983,220.441625,5.524679,0.08042026,2.5873533,20180203,0.031,-2.0E-4,20180228
4427920383700574337,33,polyhymnia,8.55,0.33,0,59172,2502,20180323,261.328055,338.155673,8.595674,1.856701,0.33236433,2.87608006,20180207,0.028,1.6E-4,20180228
4427920383700574337,35,leukothea,8.5,0.15,0,57651,2570,20180323,139.210821,213.336344,353.750805,7.935295,0.22591432,2.99324041,20180203,0.011,-8.5E-6,20180228
4427920383700574337,36,atalante,8.46,0.15,0,55328,1457,20180323,213.324298,47.578572,358.281837,18.370852,0.30424551,2.74926272,20171009,0.021,1.0E-4,20180228
4427920383700574337,38,leda,8.32,0.15,0,59156,2022,20180323,277.933737,169.372994,295.730308,6.970419,0.15513059,2.73944255,20180203,0.013,3.1E-6,20180228
4427920383700574337,39,laetitia,6.0,0.15,0,59138,5557,20180323,216.693948,208.481611,157.071682,10.369848,0.11209521,2.77140282,20180207,0.02,1.2E-4,20180228
4427920383700574337,40,harmonia,7.0,0.15,9,55957,4796,20180323,351.922373,269.87194,94.191152,4.257202,0.04683342,2.2671813,20180203,0.011,-7.2E-6,20180228
4427920383700574337,41,daphne,7.12,0.1,0,55182,2034,20180323,48.410697,45.846754,178.08643,15.794532,0.27561529,2.75979248,20171009,0.016,1.2E-5,20180228
4427920383700574337,42,isis,7.53,0.15,9,59024,2312,20180323,100.079996,237.337298,84.195289,8.514107,0.22248708,2.44241787,20180203,0.016,-8.5E-5,20180228
4427920383700574337,43,ariadne,7.93,0.11,0,55880,2111,20180323,17.478335,16.191308,264.815624,3.471239,0.1682621,2.20302119,20171009,0.017,1.7E-5,20180228
4427920383700574337,47,aglaja,7.84,0.16,0,57546,2163,20180323,331.747316,314.585659,3.083068,4.975647,0.12970065,2.88099937,20171009,0.022,7.3E-5,20180228
4427920383700574337,48,doris,6.9,0.15,8000,57670,2552,20180323,357.291584,253.279777,183.562505,6.547026,0.07272529,3.11140018,20180207,0.027,-1.2E-4,20180228
4427920383700574337,49,pales,7.8,0.15,0,56303,2106,20180323,169.530248,111.145758,285.646491,3.171303,0.22507496,3.10093432,20180203,0.021,1.0E-4,20180228
4427920383700574337,50,virginia,9.24,0.15,0,58535,2454,20180323,66.94254,200.140637,173.530155,2.838015,0.28594145,2.64949693,20180203,0.023,-1.6E-4,20180228
4427920383700574337,51,nemausa,7.35,0.08,0,56327,4585,20180323,347.619011,2.667218,176.016271,9.980163,0.06696544,2.36527262,20180203,0.029,-5.8E-5,20180228
4427920383700574337,52,europa,6.31,0.18,0,57420,2683,20180323,164.574492,343.682621,128.608148,7.478255,0.110186,3.09336082,20171009,0.015,4.0E-5,20180228
4427920383700574337,53,kalypso,8.81,0.15,0,54110,2322,20180323,331.196999,313.292238,143.557154,5.170892,0.20580641,2.61746889,20180203,0.014,-2.2E-5,20180228
4427920383700574337,54,alexandra,7.66,0.15,0,56342,2008,20180323,290.037313,344.955513,313.299581,11.795458,0.19790366,2.71144372,20180203,0.028,2.1E-4,20180228
4427920383700574337,55,pandora,7.7,0.15,0,56180,2431,20180323,275.081888,5.313735,10.384812,7.180368,0.14276515,2.75972705,20171009,0.017,5.4E-5,20180228
4427920383700574337,56,melete,8.31,0.15,0,55737,2095,20180323,152.27311,105.015308,192.99299,8.080374,0.23770545,2.59653667,20180203,0.02,-1.0E-4,20180228
4427920383700574337,57,mnemosyne,7.03,0.15,0,57745,2031,20180323,72.512102,210.829735,199.201012,15.215813,0.11376788,3.1512184,20180203,0.027,-1.4E-4,20180228
4427920383700574337,58,concordia,8.86,0.15,16000,56234,2706,20180323,209.968974,30.465258,161.11888,5.065199,0.04292641,2.70059537,20180203,0.012,-2.2E-5,20180228
4427920383700574337,59,elpis,7.93,0.15,0,53682,1927,20180323,70.724122,211.228587,170.029671,8.640946,0.11928843,2.71252882,20180203,0.022,-1.4E-4,20180228
4427920383700574337,60,echo,8.21,0.27,0,57365,2387,20180323,101.989089,271.142769,191.593916,3.601233,0.18348905,2.39395423,20180207,0.023,1.4E-4,20180228
4427920383700574337,61,danae,7.68,0.15,0,55668,1662,20180323,195.446124,12.652716,333.721216,18.208361,0.16671272,2.98255921,20180203,0.028,6.6E-5,20180228
4427920383700574337,62,erato,8.76,0.15,0,39162,2480,20180323,170.330113,275.05044,125.458259,2.228328,0.16905403,3.135682,20180203,0.021,1.0E-4,20180228
4427920383700574337,63,ausonia,7.55,0.25,0,57177,2216,20180323,33.328083,295.813382,337.741698,5.776447,0.12686749,2.39481316,20171009,0.015,7.5E-6,20180228
4427920383700574337,64,angelina,7.67,0.48,0,57294,2355,20180323,308.938848,178.77994,309.122901,1.309405,0.12582338,2.68196194,20180203,0.015,-4.3E-5,20180228
4427920383700574337,66,maja,9.36,0.15,0,57178,2338,20180323,287.400044,44.055284,7.506574,3.046085,0.17278279,2.64536475,20171114,0.018,1.7E-5,20180228
4427920383700574337,67,asia,8.28,0.15,9,56212,2220,20180323,173.794292,107.085998,202.442098,6.030453,0.18526895,2.42119813,20180203,0.02,-1.2E-4,20180228
4427920383700574337,68,leto,6.78,0.05,0,56299,1924,20180323,176.40092,304.711655,44.127972,7.972083,0.18695265,2.78055636,20180203,0.026,9.4E-6,20180228
4427920383700574337,70,panopaea,8.11,0.14,0,55108,1928,20180323,337.312625,255.317586,47.695995,11.595307,0.18041737,2.61569276,20171009,0.024,1.0E-4,20180228
4427920383700574337,71,niobe,7.3,0.4,0,56241,1966,20180323,178.021622,266.883384,316.020622,23.259295,0.17334643,2.75687006,20180203,0.015,-2.3E-5,20180228
4427920383700574337,72,feronia,8.94,0.15,0,55732,2136,20180323,251.276104,102.857247,207.972397,5.416962,0.12101306,2.26633581,20180203,0.029,1.8E-4,20180228
4427920383700574337,73,klytia,9.0,0.15,0,55998,2116,20180323,65.886659,52.503843,7.024578,2.370623,0.043332,2.66409736,20180203,0.025,-1.7E-4,20180228
4427920383700574337,74,galatea,8.66,0.15,0,56240,2421,20180323,190.129743,174.223065,197.267577,4.077806,0.23842835,2.78052356,20180207,0.023,1.1E-4,20180228
4427920383700574337,75,eurydike,8.96,0.23,0,56238,2726,20180323,231.699096,339.319891,359.427089,4.997991,0.30463254,2.6733506,20180207,0.024,1.0E-4,20180228
4427920383700574337,76,freia,7.9,0.15,9,56090,2391,20180323,221.413631,252.538802,204.304042,2.121775,0.1658758,3.41141134,20171213,0.016,1.6E-5,20180228
4427920383700574337,77,frigga,8.52,0.16,9,50411,2329,20180323,193.09334,61.623286,1.192462,2.422875,0.13168191,2.66974686,20171009,0.016,7.9E-5,20180228
4427920383700574337,78,diana,8.09,0.08,0,56492,1933,20180323,225.190382,152.832278,333.410572,8.702567,0.20754567,2.61880312,20180203,0.013,-2.7E-6,20180228
4427920383700574337,79,eurynome,7.96,0.25,0,56358,1971,20180323,126.075313,200.856563,206.618706,4.617605,0.1908827,2.44504585,20180203,0.025,1.3E-4,20180228
4427920383700574337,80,sappho,7.98,0.15,0,55538,1999,20180323,343.921247,139.679925,218.698397,8.675785,0.19984547,2.2956937,20171110,0.016,2.7E-5,20180228
4427920383700574337,81,terpsichore,8.48,0.15,0,55770,1841,20180323,265.327901,51.72401,0.95987,7.803716,0.2104943,2.85281301,20171110,0.02,4.1E-5,20180228
4427920383700574337,82,alkmene,8.4,0.28,0,55711,2200,20180323,89.670932,111.355059,25.489495,2.827063,0.21944956,2.76510043,20171009,0.019,7.1E-5,20180228
4427920383700574337,83,beatrix,8.66,0.15,0,55697,1915,20180323,125.871763,168.431438,27.736878,4.96473,0.08180794,2.43168551,20171216,0.018,4.1E-6,20180228
